SCENE_ID,REASON
LE07_027034_20200115,Cloud/Missing
LC09_027034_20230224,Cloud/Snow/Missing
LE07_027035_20200115,Cloud/Missing
LE07_027035_20201029,Cloud/Missing
LC08_027035_20211109,Cloud
LE07_027035_20211117,Cloud/Snow/Missing
LE07_027036_20150407,Cloud/Missing
LE07_027036_20170802,Cloud
LE07_027036_20180618,Cloud
LC08_027036_20190120,Cloud/Cirrus
LC08_027036_20230115,Cloud/Missing
LC09_027036_20240517,Cloud
LC08_027037_20151211,Cloud/Missing
LC08_027037_20170404,Cloud/Cirrus
LE07_027037_20171106,Cloud/Missing/Cloudscore
LC08_027037_20180813,Cloud/Missing
LE07_027037_20210829,Cloud/Cirrus
LC08_027037_20240102,Cloud/Snow
LC08_027038_20180930,Cloud
LC08_027038_20211227,Cloud
LC08_027039_20151008,Cloud
LE07_027039_20190520,Cloud
LE07_027039_20190605,Cloud
LC08_027039_20191120,Cloud
LC08_027039_20200428,Cloud
LE07_027039_20210509,Cloud
LE07_027039_20210829,Cloud
LC08_027040_20180930,Cloud
LE07_027040_20200216,Cloud/Snow/Missing
LE07_027040_20201114,Cloud/Missing
LC08_027040_20201122,Cloud
LC08_027040_20211211,Cloud
LE07_027041_20150525,Cloud
LC08_027041_20151008,Cloud
LC08_027041_20161127,Cloud
LC08_027041_20180322,Cloud
LC08_027041_20180930,Cloud
LC08_027041_20190309,Cloud/Cirrus
LC08_027041_20200224,Cloud/Cirrus
LE07_027042_20181008,Cloud
LE07_028025_20150905,Cloud/Missing
LE07_028025_20171012,Cloud/Missing
LC08_028025_20190111,Cloud/Snow/Missing
LE07_028026_20180913,Cloud/Missing
LC08_028026_20190807,Cloud
